codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose1_grupo12,aplicadas_dose1_grupo13,aplicadas_dose1_grupo14,aplicadas_dose1_grupo15,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,642,232,509,203,63,0,0,42,96,134,0,153,21,0,0,0,0,0,0,56,0,0,26,84,37,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,4544,2134,3246,1681,401,18,0,481,854,1301,0,155,23,10,0,0,1,0,2,371,17,0,158,751,384,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,149225,60050,118106,39810,31882,349,0,11792,24923,44138,73,202,3040,357,40,0,0,4,1306,18652,339,0,1088,14335,5305,41,50,1,0,0
280040,Arauá,9947,149,348,644,1812,862,1555,887,164,0,0,211,466,628,0,0,11,15,0,0,0,10,50,162,0,0,111,464,150,0,0,0,5,0
280050,Areia Branca,18686,281,548,1047,3071,1451,2323,1314,260,0,0,336,572,959,0,0,61,7,0,0,0,3,125,250,0,0,144,548,372,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,5235,2755,3977,1863,577,0,0,424,875,1585,0,201,70,23,0,1,2,2,217,375,0,0,184,801,502,0,1,12,1,0
280067,Boquim,26899,476,1158,1852,5631,2906,4283,2546,601,9,0,564,1193,1691,0,0,32,21,0,0,1,6,165,474,9,0,229,1164,670,0,0,5,7,0
280070,Brejo Grande,8353,121,199,417,2168,498,1829,387,133,0,0,153,199,413,0,668,13,0,0,0,0,0,250,111,0,0,66,187,23,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,3660,2055,2844,1865,271,0,0,436,802,1146,0,0,10,19,0,1,2,27,130,239,0,0,427,758,441,0,0,0,5,0
280110,Canhoba,4006,72,156,232,733,378,712,328,84,0,0,100,176,340,0,0,10,0,0,0,0,0,2,77,0,0,43,154,54,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,4095,1845,3416,1615,442,0,0,340,801,1169,0,393,50,12,0,3,3,3,200,350,0,0,330,735,200,0,0,0,0,0
280130,Capela,34514,564,1121,2006,6518,2223,4931,1979,709,0,0,572,1099,1694,0,582,43,17,0,2,0,1,212,579,0,0,241,839,320,0,0,34,0,0
280140,Carira,22239,450,956,1559,4292,2422,3537,2280,309,0,0,509,961,1647,0,0,17,15,0,0,0,1,78,243,0,0,472,913,652,0,0,1,5,0
280150,Carmópolis,16937,117,294,770,2091,921,1600,751,282,0,0,140,327,712,0,0,58,8,0,1,1,0,71,255,0,0,47,343,106,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,1313,687,965,680,142,0,0,117,308,362,0,0,9,6,0,0,0,0,21,130,0,0,52,285,213,0,0,5,4,0
280170,Cristinápolis,18029,202,496,876,2767,1447,1909,1183,303,0,0,292,489,758,0,0,12,6,0,0,0,3,46,300,0,0,153,442,288,0,0,7,1,0
280190,Cumbe,3998,94,198,262,1099,454,827,418,70,0,0,98,198,238,0,188,8,0,0,0,0,2,25,70,0,0,39,196,113,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,898,438,672,395,133,0,0,78,149,242,0,0,13,1,0,0,0,0,56,116,0,0,32,145,102,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,13773,5498,11096,4487,2000,33,0,1225,2390,4099,0,261,283,25,0,34,90,18,638,1291,33,0,1127,1633,200,0,203,21,1,0
280220,Feira Nova,5601,100,217,383,1043,573,712,447,75,0,0,100,232,290,0,0,8,1,0,0,0,0,6,75,0,0,99,200,73,0,0,6,0,0
280230,Frei Paulo,15556,294,608,994,2995,1585,2583,1502,221,0,0,307,593,957,0,182,14,3,0,1,3,124,178,205,0,0,292,570,435,0,0,9,0,0
280240,Gararu,11601,203,448,701,2068,1123,1629,935,142,4,0,257,516,676,0,0,14,6,0,0,0,0,14,129,4,0,245,441,116,0,0,0,0,0
280250,General Maynard,3384,47,109,207,633,323,581,278,107,0,0,52,106,208,0,0,24,2,0,0,0,17,65,98,0,0,21,104,55,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,1303,753,1056,666,112,0,0,165,282,467,0,0,13,5,0,0,0,0,12,89,0,0,164,270,143,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,1747,662,1404,598,130,0,0,187,274,469,0,310,11,4,0,0,0,2,17,119,0,0,81,255,143,0,0,5,1,0
280280,Indiaroba,18149,221,453,850,2562,1162,1779,897,231,0,0,280,440,642,0,117,43,10,0,0,0,0,16,209,0,0,112,379,197,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,17987,8181,15101,7237,2430,227,0,1948,3404,5939,0,0,221,56,0,4,5,11,856,1762,156,0,1671,2851,797,0,0,54,32,0
280300,Itabaianinha,42166,630,1353,2494,6741,3141,6570,2723,709,0,0,693,1238,2111,0,0,63,20,0,1,2,106,1627,445,0,0,254,1185,839,0,0,8,10,0
280310,Itabi,4886,115,264,446,1208,673,893,607,91,0,0,105,281,404,0,0,6,4,0,1,0,0,1,88,0,0,104,268,147,0,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,5381,2616,4435,2188,570,0,0,463,1247,1687,0,0,51,15,0,0,0,5,397,523,0,0,234,999,432,0,0,0,0,0
280330,Japaratuba,18907,302,670,1215,3995,1850,2700,1823,279,0,0,298,701,1010,0,317,26,10,0,0,0,4,55,262,0,0,289,641,330,0,301,27,1,0
280340,Japoatã,13429,208,477,734,2930,1135,2322,981,217,0,0,256,496,762,0,524,27,13,0,0,0,0,27,204,0,0,86,461,230,0,0,0,1,0
280350,Lagarto,105221,1941,4108,7217,23390,10920,18264,8757,3575,48,0,2022,4136,6593,0,661,172,63,0,4,7,32,951,2176,46,0,825,3531,2179,0,0,7,32,0
280360,Laranjeiras,30080,269,727,1448,7260,1965,5450,1608,549,0,0,295,713,1223,0,1982,98,21,0,0,7,28,534,422,0,0,112,679,395,0,0,0,0,0
280370,Macambira,6961,178,337,535,1500,875,1176,761,103,0,0,185,317,488,0,0,11,4,0,0,0,5,63,95,0,0,145,324,197,0,0,7,2,0
280380,Malhada dos Bois,3699,55,111,180,622,337,476,246,101,0,0,62,124,175,0,0,9,5,0,0,0,0,0,95,0,0,48,89,14,0,0,0,0,0
280390,Malhador,12653,203,468,914,2321,1171,1786,987,154,0,0,221,491,794,0,0,11,10,0,1,0,2,102,135,0,0,218,437,197,0,0,0,0,0
280400,Maruim,17271,179,453,898,2581,1321,2089,1086,259,0,0,241,531,970,0,0,45,4,0,0,0,2,37,250,0,0,221,483,132,0,0,0,1,0
280410,Moita Bonita,11348,318,611,904,2585,1525,2359,1323,135,0,0,322,607,882,0,0,11,10,0,1,4,66,321,131,0,0,320,573,299,0,0,7,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,2268,1194,1654,1012,200,0,0,211,435,734,0,0,7,4,0,0,8,1,54,184,0,0,207,398,223,0,0,0,0,0
280430,Muribeca,7639,120,263,500,1361,641,1437,495,113,0,0,126,283,488,0,0,13,3,0,0,1,1,409,99,0,0,60,250,86,0,0,12,1,0
280440,Neópolis,18703,361,698,1274,3716,1806,2647,1510,422,0,0,406,678,1083,0,0,32,10,0,0,0,0,16,387,0,0,138,543,442,0,0,9,1,0
280445,Nossa Senhora Aparecida,8809,170,416,645,2000,1230,1727,1185,140,0,0,221,444,628,0,126,6,5,0,0,4,19,134,138,0,0,217,439,302,0,89,2,3,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,6396,2821,4676,2397,828,20,0,686,1335,1731,0,0,69,7,0,0,0,0,0,579,19,0,642,1118,39,0,0,0,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,5069,2799,4018,2445,572,0,0,542,1048,1644,0,0,54,21,0,2,1,1,133,485,0,0,458,917,585,0,0,3,9,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,1333,668,1011,550,120,0,0,130,294,434,0,0,14,3,0,0,0,0,16,110,0,0,78,250,112,0,0,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,27100,12345,18213,11130,2358,36,0,1471,3819,8270,0,0,389,72,0,6,3,9,1780,1380,36,0,1315,3526,4873,0,0,49,27,0
280490,Pacatuba,14540,230,455,822,2254,1069,2024,966,185,0,0,229,455,773,0,0,8,11,0,0,4,1,358,167,0,0,72,429,298,0,0,0,9,0
280500,Pedra Mole,3285,65,121,245,654,359,639,344,66,0,0,68,145,206,0,0,7,1,0,0,0,27,119,65,0,0,68,139,72,0,0,5,1,0
280510,Pedrinhas,9665,156,335,604,1653,763,1239,694,133,0,0,183,395,511,0,0,11,6,0,0,0,0,0,107,0,0,53,362,172,0,0,0,0,0
280520,Pinhão,6627,134,336,524,1421,811,1056,749,86,0,0,127,319,474,0,0,10,5,0,0,0,1,34,83,0,0,124,301,241,0,0,0,0,0
280530,Pirambu,9359,130,267,522,1801,886,1387,815,161,0,0,157,263,497,0,229,24,3,0,0,0,0,53,153,0,0,152,251,259,0,0,0,0,0
280540,Poço Redondo,35122,399,1056,1672,5576,2876,3874,2575,412,0,0,493,1038,1302,0,316,36,49,0,0,0,0,228,343,0,0,435,1038,759,0,0,4,0,0
280550,Poço Verde,23867,576,1241,1828,5381,2661,4097,2157,378,0,0,543,1099,1739,0,140,14,7,0,0,1,26,150,377,0,0,181,1078,521,0,0,0,0,0
280560,Porto da Folha,28693,477,1002,1660,5472,2677,4818,2807,432,0,260,499,1054,1580,0,408,45,11,0,0,0,24,505,395,0,260,493,983,676,0,0,5,4,0
280570,Propriá,29692,524,990,1914,5759,2253,4724,2239,1055,21,0,578,993,1670,0,0,106,18,0,2,2,6,273,840,21,0,193,915,270,0,0,25,7,0
280580,Riachão do Dantas,19809,386,781,1181,4018,1883,3100,1766,304,0,0,467,870,1130,0,231,24,4,0,0,1,0,69,299,0,0,216,826,425,0,0,3,0,0
280590,Riachuelo,10284,116,275,517,1825,835,1362,780,218,0,0,133,253,507,0,160,17,7,0,0,2,0,65,201,0,0,67,228,284,0,0,10,5,0
280600,Ribeirópolis,18773,438,892,1340,3998,2293,3615,2193,396,49,0,444,840,1225,0,0,37,14,0,1,0,99,510,339,49,0,410,834,561,0,0,12,2,0
280610,Rosário do Catete,11008,97,240,544,1709,924,1455,775,280,0,0,130,326,439,0,0,31,10,0,0,3,4,232,261,0,0,121,274,119,0,0,0,0,0
280620,Salgado,20025,352,780,1250,3672,2037,2944,1982,277,0,0,408,839,1217,0,0,11,9,0,0,0,6,177,265,0,0,406,839,472,0,0,7,5,0
280630,Santa Luzia do Itanhy,14121,156,374,758,4466,866,3498,747,169,0,0,185,390,700,0,1867,11,11,0,0,0,12,153,149,0,0,109,264,225,0,0,0,6,0
280650,Santa Rosa de Lima,3923,88,163,403,878,433,643,424,95,0,0,93,175,236,0,0,18,3,0,0,0,0,23,95,0,0,27,169,133,0,0,0,2,0
280640,Santana do São Francisco,7844,111,218,472,992,512,1059,464,116,0,0,137,259,351,0,0,7,3,0,0,0,16,170,96,0,0,53,232,83,0,0,5,3,0
