codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose1_grupo34_lactante,aplicadas_dose1_grupo35_2529,aplicadas_dose1_grupo36_2024,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose2_grupo34_lactante,aplicadas_dose2_grupo35_2529,aplicadas_dose2_grupo36_2024,aplicadas_dose_unica_grupo1_saude,aplicadas_dose_unica_grupo2_institucionalizados,aplicadas_dose_unica_grupo3_indigenasaldeados,aplicadas_dose_unica_grupo4_80mais,aplicadas_dose_unica_grupo5_7079,aplicadas_dose_unica_grupo6_6069,aplicadas_dose_unica_grupo7_situacaoderua,aplicadas_dose_unica_grupo8_quilombolas,aplicadas_dose_unica_grupo9_seguranca,aplicadas_dose_unica_grupo14_deficiente,aplicadas_dose_unica_grupo15_comorbidade,aplicadas_dose_unica_grupo16_educacao,aplicadas_dose_unica_grupo17_sistemaprisional,aplicadas_dose_unica_grupo18_privadosliberdade,aplicadas_dose_unica_grupo19_transporteaereo,aplicadas_dose_unica_grupo20_limpezaurbana,aplicadas_dose_unica_grupo21_transportecoletivo,aplicadas_dose_unica_grupo22_caminhoneiros,aplicadas_dose_unica_grupo23_5559,aplicadas_dose_unica_grupo24_educacaosuperior,aplicadas_dose_unica_grupo25_zonaportuaria,aplicadas_dose_unica_grupo26_industriaiscivil,aplicadas_dose_unica_grupo27_5054,aplicadas_dose_unica_grupo28_4549,aplicadas_dose_unica_grupo29_4044,aplicadas_dose_unica_grupo30_gestantes,aplicadas_dose_unica_grupo31_puerperas,aplicadas_dose_unica_grupo32_3539,aplicadas_dose_unica_grupo33_3034,aplicadas_dose_unica_grupo34_lactante,aplicadas_dose_unica_grupo35_2529,aplicadas_dose_unica_grupo36_2024
280010,Amparo de São Francisco,2380,51,89,140,1199,656,30,1135,494,29,72,0,0,42,99,141,0,183,27,0,208,44,1,0,0,19,0,0,38,0,0,2,43,49,56,10,0,66,35,0,0,0,66,0,0,40,95,92,0,136,23,0,2,2,0,0,0,0,0,0,3,0,0,1,6,10,10,0,0,7,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,11,3,0,0,0
280020,Aquidabã,21681,481,932,1543,9201,4374,210,8897,2843,210,473,18,0,485,866,1423,0,160,24,44,635,807,0,0,0,47,42,68,529,0,0,106,683,799,731,60,13,599,282,3,0,0,386,17,0,429,824,967,0,102,21,1,9,0,0,0,0,0,0,0,6,0,0,2,15,13,43,4,2,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,13,19,30,0,0,133,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,323269,142634,11665,332738,106502,11635,38680,264,0,11968,25309,47313,325,203,4906,0,37976,10025,285,630,450,824,1257,2,127426,0,0,303,1,0,5,2567,0,0,22017,2,0,0,24768,235,0,11597,25696,40439,45,139,2005,0,358,29,0,1,0,3,0,1,0,0,0,0,2,5,718,461,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11635,0,0,0,0,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,3869,1712,100,3808,1243,102,171,0,0,211,466,643,0,0,12,113,385,204,0,0,0,12,12,36,285,0,0,30,332,663,180,35,9,0,0,9,0,0,162,0,0,211,467,374,0,1,6,1,10,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,17,1,0,0,30,41,5,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,7554,2811,185,7586,2663,198,298,0,0,341,581,1044,1,0,62,128,672,255,180,524,0,28,25,67,467,0,0,0,669,707,729,65,17,556,170,0,0,0,256,0,0,306,569,683,0,0,14,3,33,0,0,0,0,18,1,2,14,0,0,0,16,54,687,0,0,4,3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,49,77,0,0,47,2,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,12029,5295,845,12694,3216,967,618,0,0,436,883,1739,1,201,85,104,1525,565,0,0,0,114,18,3,737,0,506,253,1093,1483,1170,149,37,947,3,15,9,0,508,0,0,387,874,1266,0,16,42,1,3,0,0,0,0,0,0,0,13,0,0,0,22,72,8,1,0,2,1,0,0,0,3,0,0,2,2,21,0,136,0,0,40,11,0,0,0,1,0,0,40,0,0,0,90,250,366,0,0,3,2,0,0,0
280067,Boquim,26899,476,1158,1852,11105,5396,255,10596,3828,251,721,9,0,572,1201,1801,0,0,68,148,1424,400,0,0,0,54,54,127,724,0,0,300,825,849,766,70,23,456,0,4,0,0,601,9,0,526,1185,1220,0,0,23,3,68,62,0,0,0,0,2,0,7,0,0,0,23,77,0,15,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,18,0,0,0,50,50,126,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,3782,2138,75,3626,1212,75,155,0,0,154,201,445,0,700,14,8,465,251,0,0,0,0,0,0,153,0,0,0,185,227,254,24,6,201,182,0,1,0,145,0,0,151,194,167,0,535,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,9,0,0,44,10,0,1,0
280100,Campo do Brito,18218,408,774,1318,7356,3535,175,7093,2555,175,330,0,0,438,812,1219,0,0,14,160,605,331,0,0,0,32,52,215,573,0,0,20,690,680,527,92,21,271,0,11,0,0,244,0,0,430,784,941,0,0,10,0,6,0,0,0,0,0,0,2,26,0,0,0,16,74,13,7,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,3,0,0,3,6,48,109,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1929,993,40,1538,455,40,120,0,0,103,175,356,0,0,8,22,151,75,0,0,0,19,4,0,163,0,0,0,207,103,9,20,3,0,0,0,0,0,80,0,0,98,169,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
