codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9
280010,Amparo de São Francisco,2380,51,89,140,232,92,222,72,61,0,0,41,94,26,0,0,0,45,0,0,27,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,2284,664,1962,400,359,18,0,463,798,324,0,0,0,286,17,0,82,15,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,80240,19280,74562,18169,22184,249,0,10654,22943,18127,61,164,180,14233,239,0,1709,1988,0,0,0,0
280040,Arauá,9947,149,348,644,872,332,818,217,152,0,0,211,425,30,0,0,0,147,0,0,62,8,0,0,0,0
280050,Areia Branca,18686,281,548,1047,1501,491,1395,398,241,0,0,324,539,291,0,0,0,232,0,0,88,78,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,2345,565,2078,331,525,0,0,406,842,305,0,0,0,242,0,0,73,16,0,0,0,0
280067,Boquim,26899,476,1158,1852,2986,756,2719,615,568,9,0,560,1145,437,0,0,0,293,9,0,179,134,0,0,0,0
280070,Brejo Grande,8353,121,199,417,518,148,415,103,108,0,0,142,164,1,0,0,0,69,0,0,34,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,1895,825,1810,700,240,0,0,419,777,374,0,0,0,231,0,0,378,91,0,0,0,0
280110,Canhoba,4006,72,156,232,388,118,311,97,74,0,0,96,141,0,0,0,0,63,0,0,13,21,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,1675,695,1630,622,359,0,0,334,733,204,0,0,0,240,0,0,299,83,0,0,0,0
280130,Capela,34514,564,1121,2006,3013,803,2600,452,624,0,0,625,1006,345,0,0,0,275,0,0,151,26,0,0,0,0
280140,Carira,22239,450,956,1559,2212,862,1706,672,240,0,0,505,846,115,0,0,0,222,0,0,380,70,0,0,0,0
280150,Carmópolis,16937,117,294,770,901,371,883,295,278,0,0,139,324,142,0,0,0,237,0,0,58,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,708,218,687,221,130,0,0,131,280,146,0,0,0,125,0,0,51,45,0,0,0,0
280170,Cristinápolis,18029,202,496,876,1447,627,1037,467,295,0,0,286,366,90,0,0,0,289,0,0,143,35,0,0,0,0
280190,Cumbe,3998,94,198,262,474,154,460,158,70,0,0,95,196,99,0,0,0,65,0,0,34,59,0,0,0,0
280200,Divina Pastora,5215,69,155,317,434,184,448,171,118,0,0,77,145,108,0,0,0,109,0,0,30,32,0,0,0,0
280210,Estância,69556,1093,2308,4544,6608,1498,6077,1173,1435,33,0,1155,2223,1231,0,0,0,675,33,0,461,4,0,0,0,0
280220,Feira Nova,5601,100,217,383,513,203,454,157,70,0,0,98,208,78,0,0,0,67,0,0,84,6,0,0,0,0
280230,Frei Paulo,15556,294,608,994,1455,565,1456,541,207,0,0,303,572,374,0,0,0,166,0,0,252,123,0,0,0,0
280240,Gararu,11601,203,448,701,1033,403,888,308,137,0,0,255,427,69,0,0,0,107,0,0,169,32,0,0,0,0
280250,General Maynard,3384,47,109,207,323,133,304,128,97,0,0,52,104,51,0,0,0,96,0,0,16,16,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,693,303,655,223,88,0,0,166,260,141,0,0,0,72,0,0,144,7,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,692,192,642,155,107,0,0,185,250,100,0,0,0,87,0,0,35,33,0,0,0,0
280280,Indiaroba,18149,221,453,850,1182,362,1069,267,200,0,0,274,414,181,0,0,0,168,0,0,71,28,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,9767,3517,9166,3090,1987,148,0,1901,3254,1876,0,0,0,1056,148,0,1478,408,0,0,0,0
280300,Itabaianinha,42166,630,1353,2494,3391,741,2959,458,541,0,0,657,1144,617,0,0,0,284,0,0,131,43,0,0,0,0
280310,Itabi,4886,115,264,446,613,253,559,194,91,0,0,101,269,98,0,0,0,82,0,0,98,14,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,2696,796,2552,709,490,0,0,457,1184,421,0,0,0,459,0,0,197,53,0,0,0,0
280330,Japaratuba,18907,302,670,1215,1710,690,1328,460,261,0,0,299,616,152,0,0,0,245,0,0,188,27,0,0,0,0
280340,Japoatã,13429,208,477,734,1165,345,1002,197,207,0,0,250,449,96,0,0,0,155,0,0,42,0,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,12540,3025,11044,2463,3287,48,0,1991,3933,1785,0,0,0,1502,45,0,552,364,0,0,0,0
280360,Laranjeiras,30080,269,727,1448,1965,665,1693,494,420,0,0,290,660,323,0,0,0,376,0,0,82,36,0,0,0,0
280370,Macambira,6961,178,337,535,795,335,855,253,88,0,0,188,443,136,0,0,0,69,0,0,120,64,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,337,147,297,87,98,0,0,74,124,1,0,0,0,81,0,0,6,0,0,0,0,0
280390,Malhador,12653,203,468,914,1071,421,973,383,135,0,0,218,445,175,0,0,0,120,0,0,208,55,0,0,0,0
280400,Maruim,17271,179,453,898,1211,561,1192,458,252,0,0,252,494,194,0,0,0,227,0,0,141,90,0,0,0,0
