codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6
280010,Amparo de São Francisco,2380,51,89,140,112,52,94,50,52,0,0,40,2,0,45,0,0,5,0,0
280020,Aquidabã,21681,481,932,1543,883,372,779,311,298,18,0,410,53,0,245,17,0,49,0,0
280030,Aracaju,664908,10149,24138,47854,36560,13230,36458,12202,17221,243,0,10105,8889,0,11966,236,0,0,0,0
280040,Arauá,9947,149,348,644,342,172,349,130,152,0,0,137,60,0,100,0,0,30,0,0
280050,Areia Branca,18686,281,548,1047,608,308,555,253,230,0,0,263,62,0,216,0,0,37,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,915,295,818,265,492,0,0,294,32,0,221,0,0,44,0,0
280067,Boquim,26899,476,1158,1852,1206,366,1203,360,538,9,0,535,121,0,261,9,0,90,0,0
280070,Brejo Grande,8353,121,199,417,208,78,185,78,68,0,0,117,0,0,55,0,0,23,0,0
280100,Campo do Brito,18218,408,774,1318,729,309,710,298,233,0,0,403,74,0,213,0,0,85,0,0
280110,Canhoba,4006,72,156,232,148,68,96,38,53,0,0,43,0,0,38,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,615,275,616,259,249,0,0,306,61,0,207,0,0,52,0,0
280130,Capela,34514,564,1121,2006,1183,343,1128,314,519,0,0,554,55,0,225,0,0,89,0,0
280140,Carira,22239,450,956,1559,762,292,705,229,229,0,0,382,94,0,183,0,0,46,0,0
280150,Carmópolis,16937,117,294,770,401,261,401,195,241,0,0,130,30,0,180,0,0,15,0,0
280160,Cedro de São João,5913,140,291,399,278,128,287,117,126,0,0,125,36,0,103,0,0,14,0,0
280170,Cristinápolis,18029,202,496,876,707,417,473,242,292,0,0,154,27,0,223,0,0,19,0,0
280190,Cumbe,3998,94,198,262,183,83,182,74,66,0,0,93,23,0,61,0,0,13,0,0
280200,Divina Pastora,5215,69,155,317,198,108,208,107,111,0,0,73,24,0,96,0,0,11,0,0
280210,Estância,69556,1093,2308,4544,2538,978,2508,958,1242,33,0,934,299,0,746,33,0,179,0,0
280220,Feira Nova,5601,100,217,383,173,73,177,64,65,0,0,87,25,0,58,0,0,6,0,0
280230,Frei Paulo,15556,294,608,994,515,205,495,198,168,0,0,274,53,0,145,0,0,53,0,0
280240,Gararu,11601,203,448,701,353,123,362,124,118,0,0,207,37,0,83,0,0,41,0,0
280250,General Maynard,3384,47,109,207,143,83,151,88,85,0,0,50,16,0,77,0,0,11,0,0
280260,Gracho Cardoso,5824,150,281,469,263,103,249,91,73,0,0,160,16,0,70,0,0,21,0,0
280270,Ilha das Flores,8521,170,275,452,262,112,262,102,87,0,0,138,37,0,77,0,0,25,0,0
280280,Indiaroba,18149,221,453,850,442,212,401,191,171,0,0,212,18,0,153,0,0,38,0,0
280290,Itabaiana,96142,1449,3289,6024,3837,1337,3605,1208,1884,148,0,1422,151,0,896,148,0,164,0,0
280300,Itabaianinha,42166,630,1353,2494,1269,389,1245,342,523,0,0,602,120,0,272,0,0,70,0,0
280310,Itabi,4886,115,264,446,223,83,177,61,80,0,0,97,0,0,52,0,0,9,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,994,474,865,490,436,0,0,410,19,0,425,0,0,65,0,0
280330,Japaratuba,18907,302,670,1215,640,310,545,263,248,0,0,272,25,0,228,0,0,35,0,0
280340,Japoatã,13429,208,477,734,435,195,354,137,163,0,0,189,2,0,129,0,0,8,0,0
280350,Lagarto,105221,1941,4108,7217,5585,1915,5502,1840,3132,48,0,1850,472,0,1475,44,0,321,0,0
280360,Laranjeiras,30080,269,727,1448,765,425,706,316,383,0,0,266,57,0,286,0,0,30,0,0
280370,Macambira,6961,178,337,535,305,95,267,92,71,0,0,158,38,0,59,0,0,33,0,0
280380,Malhada dos Bois,3699,55,111,180,157,87,163,79,90,0,0,71,2,0,73,0,0,6,0,0
280390,Malhador,12653,203,468,914,381,141,391,138,121,0,0,210,60,0,103,0,0,35,0,0
280400,Maruim,17271,179,453,898,501,251,491,224,233,0,0,201,57,0,186,0,0,38,0,0
280410,Moita Bonita,11348,318,611,904,505,175,512,178,130,0,0,307,75,0,111,0,0,67,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,405,165,374,158,153,0,0,190,31,0,129,0,0,29,0,0
280430,Muribeca,7639,120,263,500,251,121,247,76,88,0,0,126,33,0,72,0,0,4,0,0
280440,Neópolis,18703,361,698,1274,746,366,723,258,325,0,0,293,105,0,232,0,0,26,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,340,150,348,149,128,0,0,190,30,0,123,0,0,26,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,1188,358,1199,384,550,20,0,533,96,0,252,19,0,113,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,969,449,842,456,377,0,0,452,13,0,377,0,0,79,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,268,138,270,95,108,0,0,124,38,0,82,0,0,13,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,3816,1354,3634,1206,1989,36,0,1273,336,0,1026,36,0,144,0,0
280490,Pacatuba,14540,230,455,822,406,166,407,153,140,0,0,213,54,0,115,0,0,38,0,0
280500,Pedra Mole,3285,65,121,245,129,49,129,49,52,0,0,61,16,0,41,0,0,8,0,0
280510,Pedrinhas,9665,156,335,604,283,113,237,111,94,0,0,133,10,0,79,0,0,32,0,0
280520,Pinhão,6627,134,336,524,251,91,224,86,73,0,0,114,37,0,63,0,0,23,0,0
280530,Pirambu,9359,130,267,522,319,149,310,154,150,0,0,141,19,0,130,0,0,24,0,0
280540,Poço Redondo,35122,399,1056,1672,936,306,929,291,372,0,0,408,149,0,243,0,0,48,0,0
280550,Poço Verde,23867,576,1241,1828,938,338,814,284,286,0,0,493,35,0,224,0,0,60,0,0
280560,Porto da Folha,28693,477,1002,1660,1154,634,1177,569,343,0,260,467,107,0,262,0,248,59,0,0
280570,Propriá,29692,524,990,1914,1219,649,1120,363,580,21,0,499,20,0,272,21,0,70,0,0
280580,Riachão do Dantas,19809,386,781,1181,771,391,774,331,300,0,0,411,63,0,268,0,0,63,0,0
280590,Riachuelo,10284,116,275,517,365,225,344,203,196,0,0,125,23,0,184,0,0,19,0,0
280600,Ribeirópolis,18773,438,892,1340,842,382,844,364,285,48,0,417,94,0,244,48,0,72,0,0
280610,Rosário do Catete,11008,97,240,544,374,244,314,205,233,0,0,81,0,0,187,0,0,18,0,0
280620,Salgado,20025,352,780,1250,677,317,686,245,231,0,0,371,84,0,207,0,0,38,0,0
280630,Santa Luzia do Itanhy,14121,156,374,758,346,166,267,124,134,0,0,117,16,0,105,0,0,19,0,0
280650,Santa Rosa de Lima,3923,88,163,239,202,92,241,93,86,0,0,107,48,0,74,0,0,19,0,0
280640,Santana do São Francisco,7844,111,218,375,211,91,197,90,90,0,0,88,19,0,77,0,0,13,0,0
280660,Santo Amaro das Brotas,12151,205,399,774,403,173,371,150,155,0,0,212,4,0,124,0,0,26,0,0
280670,São Cristóvão,91093,989,2400,5663,2402,762,1936,678,1040,26,0,855,15,0,526,23,0,129,0,0
280680,São Domingos,11207,218,488,817,366,136,358,123,120,0,0,187,51,0,93,0,0,30,0,0
280690,São Francisco,3781,64,138,246,139,59,114,59,49,0,0,56,9,0,46,0,0,13,0,0
280700,São Miguel do Aleixo,3947,83,169,283,176,86,174,89,79,0,0,91,4,0,69,0,0,20,0,0
280710,Simão Dias,40606,914,1749,2657,1730,500,1697,467,663,12,0,902,120,0,297,12,0,158,0,0
280720,Siriri,8970,154,316,533,293,133,310,130,112,0,0,154,44,0,102,0,0,28,0,0
280730,Telha,3249,49,100,178,139,79,139,74,77,0,0,54,8,0,64,0,0,10,0,0
