codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,enviadas_dose_unica,aplicadas_dose1,aplicadas_dose2,aplicadas_dose_unica,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose1_grupo34_lactante,aplicadas_dose1_grupo35_2529,aplicadas_dose1_grupo36_2024,aplicadas_dose1_grupo37_1819,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose2_grupo34_lactante,aplicadas_dose2_grupo35_2529,aplicadas_dose2_grupo36_2024,aplicadas_dose2_grupo37_1819,aplicadas_dose_unica_grupo1_saude,aplicadas_dose_unica_grupo2_institucionalizados,aplicadas_dose_unica_grupo3_indigenasaldeados,aplicadas_dose_unica_grupo4_80mais,aplicadas_dose_unica_grupo5_7079,aplicadas_dose_unica_grupo6_6069,aplicadas_dose_unica_grupo7_situacaoderua,aplicadas_dose_unica_grupo8_quilombolas,aplicadas_dose_unica_grupo9_seguranca,aplicadas_dose_unica_grupo14_deficiente,aplicadas_dose_unica_grupo15_comorbidade,aplicadas_dose_unica_grupo16_educacao,aplicadas_dose_unica_grupo17_sistemaprisional,aplicadas_dose_unica_grupo18_privadosliberdade,aplicadas_dose_unica_grupo19_transporteaereo,aplicadas_dose_unica_grupo20_limpezaurbana,aplicadas_dose_unica_grupo21_transportecoletivo,aplicadas_dose_unica_grupo22_caminhoneiros,aplicadas_dose_unica_grupo23_5559,aplicadas_dose_unica_grupo24_educacaosuperior,aplicadas_dose_unica_grupo25_zonaportuaria,aplicadas_dose_unica_grupo26_industriaiscivil,aplicadas_dose_unica_grupo27_5054,aplicadas_dose_unica_grupo28_4549,aplicadas_dose_unica_grupo29_4044,aplicadas_dose_unica_grupo30_gestantes,aplicadas_dose_unica_grupo31_puerperas,aplicadas_dose_unica_grupo32_3539,aplicadas_dose_unica_grupo33_3034,aplicadas_dose_unica_grupo34_lactante,aplicadas_dose_unica_grupo35_2529,aplicadas_dose_unica_grupo36_2024,aplicadas_dose_unica_grupo37_1819
280010,Amparo de São Francisco,2380,51,89,140,1569,1160,30,1544,762,30,72,0,0,42,99,146,0,183,27,0,208,45,1,0,0,19,0,0,43,0,0,2,45,57,67,19,0,95,103,10,99,115,47,69,0,0,41,98,136,0,180,27,0,87,18,0,0,0,0,0,0,6,0,0,1,8,15,18,14,0,35,8,4,1,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,3,3,0,0,11,3,0,1,0,0
280020,Aquidabã,21681,481,932,1543,14193,7852,210,12175,4612,210,473,18,0,485,870,1445,0,166,24,48,644,811,0,0,0,47,42,68,577,0,0,106,744,888,871,68,15,797,879,10,836,859,384,432,17,0,442,847,1330,0,143,28,14,331,565,0,0,0,11,1,0,40,0,0,2,60,57,123,18,7,99,38,0,6,1,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,9,0,0,0,13,19,30,0,0,133,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,454195,250672,12715,442702,147877,12517,39358,925,3,12255,25558,46140,309,204,5135,905,29709,8333,284,630,453,824,1093,12,22391,701,5,762,25698,28897,33723,3042,582,29483,36707,119,36766,38345,13351,18377,1209,1,11561,14567,44577,44,145,3169,162,8273,2218,86,67,321,235,385,16,8677,254,4,17,5028,4802,6827,962,413,4245,3862,30,1740,5391,242,225,79,0,4,3,4,87,0,35,0,76,335,0,17,1,0,5,0,10900,3,0,13,0,2,4,0,1,262,37,0,334,3,87
280040,Arauá,9947,149,348,644,6333,3834,100,6299,2541,102,174,0,0,211,468,650,0,0,12,113,386,204,0,0,0,12,12,36,322,0,0,30,347,763,416,70,12,717,554,26,348,299,117,167,0,0,211,471,665,0,1,10,22,192,21,0,0,0,0,0,0,88,0,0,28,485,91,56,0,1,9,23,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,1,17,1,0,0,30,41,5,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,11844,6807,185,11895,4412,198,300,0,0,342,587,1058,1,0,63,128,673,256,180,529,0,28,25,67,483,0,0,0,704,769,859,87,18,877,923,1,1170,1384,383,259,0,0,312,579,1124,0,0,58,18,76,168,0,0,0,18,1,4,246,0,0,0,165,190,889,26,8,142,74,0,23,28,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,49,77,0,0,47,2,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,19247,9568,845,19601,5838,967,637,2,0,437,887,1769,1,201,85,104,1531,565,0,0,0,114,18,3,787,0,506,253,1182,1644,1455,194,49,1766,1579,28,1578,1632,594,544,0,0,391,889,1721,0,37,63,24,619,247,0,0,0,9,0,0,296,2,237,1,208,164,102,5,1,196,50,0,21,11,0,3,0,0,2,2,21,0,136,0,0,40,11,0,0,0,1,0,0,40,0,0,0,90,250,366,0,0,3,2,0,0,0,0
280067,Boquim,26899,476,1158,1852,17639,9141,255,15605,6277,252,722,9,0,572,1204,1826,0,0,68,152,1434,400,0,0,0,54,56,127,791,0,0,300,924,1063,1064,115,37,1123,1053,25,1044,988,454,622,9,0,531,1195,1699,0,0,26,4,155,137,0,0,0,0,4,3,621,0,0,1,344,432,127,33,8,175,134,0,11,6,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,18,0,0,0,50,50,126,0,0,0,0,0,0,1,0
280070,Brejo Grande,8353,121,199,417,5088,3527,75,4790,2009,75,155,0,0,154,205,450,0,711,14,16,465,255,0,0,0,0,0,0,164,0,0,0,197,250,294,49,13,283,340,13,292,324,146,150,0,0,156,205,324,0,592,12,1,335,89,0,0,0,0,0,0,5,0,0,0,13,26,54,5,0,25,13,0,3,1,0,1,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,9,0,0,44,10,0,1,0,0
280100,Campo do Brito,18218,408,774,1318,11870,6804,175,11170,4159,175,337,0,0,438,816,1237,0,0,15,160,614,333,0,0,0,32,52,218,595,0,0,20,748,777,711,113,21,909,789,22,822,1012,379,288,0,0,432,789,1127,0,0,11,37,280,220,0,0,0,13,27,12,184,0,0,0,117,185,161,34,3,154,72,4,7,4,2,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,3,0,0,3,6,48,109,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,2649,1843,40,2484,909,40,108,0,0,97,178,250,0,147,8,22,156,106,0,0,0,17,4,0,149,0,0,0,189,147,178,15,4,156,190,0,137,135,91,87,0,0,97,178,178,0,53,8,4,67,21,0,0,0,2,0,0,4,0,0,0,8,20,42,1,0,54,78,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,11,18,4,0,0,2,0,0,0,0,0
