codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044
280010,Amparo de São Francisco,2380,51,89,140,950,306,824,238,65,0,0,42,97,139,0,182,27,0,0,0,16,158,42,1,0,0,17,0,0,23,0,0,1,12,2,0,63,0,0,40,84,39,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,6808,2964,5868,2376,457,18,0,482,859,1396,0,159,24,13,6,9,31,548,778,0,0,0,42,43,55,358,0,0,97,395,98,0,381,17,0,391,809,760,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,233969,93970,197743,66303,36236,349,0,11928,25215,46822,122,202,4714,373,0,0,4,35978,7276,281,628,445,820,1180,0,0,0,0,0,25170,0,0,21881,339,0,10706,18873,13632,0,50,604,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,2715,1082,2471,1077,166,0,0,211,466,641,0,0,12,9,1,0,108,333,190,0,0,0,12,16,30,120,0,1,0,155,0,0,162,0,0,211,466,229,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,5400,1701,5223,1519,274,0,0,337,576,1018,1,0,61,8,1,2,120,657,244,171,491,0,24,19,53,378,0,0,0,522,265,1,253,0,0,291,560,402,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,8518,3605,7708,2885,591,0,0,429,881,1692,0,201,83,25,6,7,86,1431,543,0,0,0,114,18,3,543,0,459,198,398,0,0,492,0,0,360,864,1112,0,1,37,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,7876,3436,7700,3057,708,9,0,568,1198,1776,0,0,67,23,2,8,111,1334,376,0,0,0,50,53,124,546,0,0,278,428,41,0,576,9,0,510,1182,737,0,0,22,16,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2833,628,2382,531,147,0,0,154,199,437,0,679,14,0,0,4,2,444,159,0,0,0,0,0,0,79,0,0,0,64,0,0,135,0,0,139,190,60,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,5336,2325,5036,2044,300,0,0,437,806,1208,0,0,12,22,3,3,151,556,322,0,0,0,29,52,163,495,0,0,0,477,0,0,241,0,0,430,778,565,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1140,458,1047,403,90,0,0,100,176,354,0,0,8,4,0,0,8,130,102,0,0,0,0,3,0,72,0,0,0,0,0,0,78,0,0,100,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
