codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044
280010,Amparo de São Francisco,2380,51,89,140,1000,306,926,249,65,0,0,42,99,139,0,182,27,0,0,0,20,171,44,1,0,0,18,0,0,32,0,0,1,26,33,26,63,0,0,40,94,40,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,7128,2964,6768,2405,462,18,0,483,859,1404,0,159,24,13,6,11,36,557,794,0,0,0,45,42,61,422,0,0,101,526,572,173,383,17,0,407,813,764,0,0,16,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,245239,93970,248464,66757,36506,349,0,11937,25236,46961,229,203,4758,374,0,0,0,37127,8262,282,630,446,821,1202,0,73141,0,0,0,0,0,0,21967,339,0,10828,18971,13657,42,113,620,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,2835,1082,2675,1077,166,0,0,211,466,641,0,0,12,9,2,1,107,358,194,0,0,0,12,12,35,194,0,0,0,255,0,0,162,0,0,211,466,229,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,5592,1701,5274,1529,274,0,0,338,576,1020,1,0,61,8,1,2,122,660,244,171,491,0,24,19,54,394,0,0,0,540,272,2,253,0,0,294,561,406,0,0,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,8928,3605,8502,2900,591,0,0,430,881,1706,0,201,85,25,6,9,97,1452,559,0,0,0,114,18,0,636,0,496,198,774,220,4,495,0,0,369,867,1112,0,1,37,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,8218,3436,7909,3061,712,9,0,568,1198,1779,0,0,67,23,2,8,111,1343,378,0,0,0,52,53,124,572,0,0,296,525,89,0,584,9,0,510,1182,737,0,0,22,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2945,628,2486,531,147,0,0,154,199,440,0,679,14,0,0,6,2,447,201,0,0,0,0,0,0,100,0,0,0,94,3,0,135,0,0,139,190,60,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,5562,2325,5183,2040,300,0,0,437,808,1208,0,0,12,22,3,3,152,560,322,0,0,0,29,52,174,502,0,0,0,517,82,0,241,0,0,430,778,565,0,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1208,458,1099,403,90,0,0,100,176,354,0,0,8,4,0,0,8,111,102,0,0,0,12,3,0,86,0,0,0,45,0,0,78,0,0,100,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
